5.223068314992976945e-08,5.323824241986847292e-10,2.458468686451725327e-04,2.006829786856693422e-03,1.452762031524952956e-09,4.338513224416048771e-06,4.666422395362427448e-10,9.986017985385241547e-01,1.476847537958056727e-05,1.010207816765329216e-09
1.316842153615625083e-04,1.901016208078084176e-06,9.903061198190932224e-01,1.180389033026135596e-04,2.452901720525080967e-11,1.288505467897810026e-04,6.426428107853129294e-05,1.793407642934677526e-13,2.891763144612439205e-04,6.523985394028152001e-11
3.366468763360366454e-10,9.999493481321316546e-01,1.982827364805986032e-05,6.464186361145209880e-07,3.456067241609470170e-06,1.502215762396363087e-11,1.648481606799944094e-03,2.759644666770482178e-06,3.972634691984560967e-04,2.956165363432050269e-09
9.989224120895847658e-01,8.774976285200120428e-08,2.804269348485295601e-03,6.908986402298645775e-04,6.287852570939798380e-06,1.479597222536493681e-09,1.187157009797522654e-06,1.721473436221934377e-07,1.470577675541553863e-06,7.884918333946697810e-08
4.628140409910782454e-12,1.557509173501292355e-06,9.451494771590738181e-07,2.434437452130237511e-07,9.996839814188429596e-01,6.142963357786681741e-10,8.327954350410445413e-06,6.415429144020273679e-05,2.065619695843210865e-06,7.371441797135889692e-04
1.553313002881285399e-08,9.999869373875670542e-01,1.351425040345888784e-05,4.769998964810841047e-06,5.064770891698898695e-07,7.426424090103379435e-12,6.071608221764149429e-05,3.727495526928400166e-06,1.872463526940142283e-04,1.567518647033616897e-07
2.052350053481570138e-08,5.882023933613801397e-09,9.141877901626772058e-06,2.889533573118004982e-06,9.994046900881367046e-01,2.599228534996565170e-07,1.851675907291002984e-06,3.049488366319377886e-05,9.654369305624240644e-03,1.207207806269044764e-04
8.073848616019113319e-09,2.736527047580122531e-07,3.262627583489104296e-04,3.115025666725956751e-05,2.172481801910814206e-03,7.249339080323352288e-05,5.112115661934839662e-11,1.185445076529421158e-06,9.203768537155522642e-07,9.946309285565159142e-01
1.674263345512858620e-07,1.016220196466462943e-08,2.150717467898258145e-05,1.136486430641498014e-13,1.081385995916769654e-03,2.725322721195298434e-02,8.400221504960693475e-02,1.671659105881534109e-13,4.854416170426458934e-10,1.598632337804865234e-05
3.582382058413271321e-08,3.597239053654039900e-08,2.857784873951274047e-05,5.390004580149017343e-08,5.485807841476861811e-03,4.366444114952143360e-09,7.452748652554165068e-08,6.960972736564887591e-05,3.038211124677770141e-03,9.949509132537230904e-01
